_Glon,_Glat,_RAJ2000,_DEJ2000,Cl,Name,Vmag,z
deg,deg,deg,deg,,,mag,

246.500778,40.749085,153.58625,-4.310833,Sy1,PG 1011-040,15.49,0.058
177.157832,55.194918,154.1875,42.173333,Sy1,RXS J10167+4210,16.39,0.056
200.128089,56.120932,154.325833,29.242778,Sy1,CG 59,16.79,0.049
234.696651,48.346156,154.408333,6.971111,Sy1,MARK 720,15.27,0.045
178.02078,55.682456,154.68,41.587778,Sy1,XBS J10187+4135,16.31,0.084
190.452602,56.646467,154.74375,34.608889,Sy1,FIRST J10189+3436,16.62,0.109
145.77923,45.830267,154.8025,63.9675,Sy1,MARK 141,16,0.042
246.696862,42.36444,154.886667,-3.3375,Sy1,MARK 1253,15.9,0.049
192.707437,56.854092,154.95625,33.367778,Sy1,PG 1016+336,15.93,0.024
247.298214,42.677337,155.4175,-3.453889,Sy1,MCG +00.27.002,15.7,0.041
242.357132,45.762647,155.430417,1.241111,Sy1,SDSS J10217+0114,16.45,0.079
257.330936,34.877995,155.603333,-14.4825,Sy1,CTS R04.01,16.6,0.077
239.541658,47.936739,155.952083,4.097778,Sy1,ACIS J10212+0421,16.7,0.099
178.362151,56.71202,155.960833,41.1725,Sy1,SDSS J10238+4110,16.83,0.117
236.658812,49.378524,155.999167,6.485556,Sy1,Zw 037.022,16,0.045
169.130626,55.431345,156.377083,46.468889,Sy1,SDSS J10255+4628,16.36,0.08
160.991947,53.272073,156.380417,51.676389,Sy1,MARK 142,16.12,0.045
152.670745,50.794559,157.34625,57.331389,Sy1,SDSS J10293+5719,15.89,0.082
215.867894,57.128025,157.367917,20.991667,Sy1,SDSS J10294+2059,16.6,0.055
174.147051,57.252371,157.490833,43.241667,Sy1,SDSS J10299+4314,16.82,0.085
201.559318,59.179256,157.8925,28.783611,Sy1,TON 524A,16.18,0.06
238.007297,51.255758,158.0425,6.868056,Sy1,SDSS J10321+0652,16.5,0.053
137.888013,42.404739,158.1275,70.459167,Sy1,RXS J10325+7027,16.2,0.063
143.258428,46.228368,158.145417,65.040833,Sy1,NGC 3259,16.89,0.006
180.277727,59.064578,158.660833,39.641389,Sy1,KUG 1031+398,16.9,0.042
237.820293,52.297286,158.828333,7.568333,Sy1,SDSS J10353+0734,16.88,0.067
148.503448,50.116144,159.422917,59.846944,Sy1,SDSS J10376+5950,16.77,0.091
257.479472,40.723624,159.585833,-10.1175,Sy1,Q 10358-0951,15.41,0.029
229.48525,56.556785,159.884167,13.930556,Sy1,SDSS J10395+1355,15.86,0.051
253.680328,44.436921,159.942917,-5.483056,Sy1,MCG -01.27.031,13.91,0.021
193.119099,61.236509,160.182917,33.016389,Sy1,RXS J10407+3300,16.62,0.081
